model,coef,se,pval,ci_low,ci_high,r2,n
Naive OLS,0.0367405939867464,0.0003928828810437477,0.0,0.03597055768975832,0.037510630283734483,0.05153660938674787,200000
OLS + Controls,0.037395074354305995,0.00040161721627930756,0.0,0.03660791907482732,0.03818222963378467,0.055290880455794,200000
